Order_ID,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min
272,16.3,1,1,2,1,12,1.0,100
224,7.67,4,1,2,1,9,2.0,31
12,19.41,4,1,2,0,11,8.0,62
484,12.74,0,1,3,2,18,0.0,67
259,11.62,0,1,0,0,9,8.0,33
567,8.15,2,1,0,0,26,2.0,50
1,7.8,0,1,1,2,23,5.0,52
143,10.2,2,2,0,0,18,9.0,56
14,4.64,0,1,0,0,15,9.0,24
305,14.66,3,0,2,1,5,6.0,71
859,11.51,1,1,0,1,5,7.0,57
559,15.23,1,1,2,1,6,0.0,52
20,6.18,0,2,1,0,9,9.0,35
147,12.39,3,2,1,0,14,8.0,56
666,3.48,1,1,0,2,9,1.0,31
164,10.95,3,2,0,0,9,1.0,65
905,8.72,3,2,1,1,18,7.0,64
896,4.5,3,0,1,0,24,0.0,66
203,3.65,0,2,2,0,29,9.0,46
926,0.94,0,0,2,0,9,6.0,21
308,6.8,1,2,2,2,13,7.0,46
823,7.0,2,2,1,0,17,9.0,49
483,9.36,2,0,2,2,17,2.0,65
941,5.84,0,2,1,0,21,7.0,35
359,18.83,0,2,1,2,5,8.0,69
685,18.62,0,1,1,2,27,6.0,75
173,10.49,2,1,2,0,28,9.0,66
44,18.23,2,1,0,2,27,9.0,86
660,11.63,0,2,3,2,29,7.0,57
996,2.29,2,0,0,1,8,8.0,80
551,10.64,4,1,1,1,11,9.0,36
531,16.35,0,2,2,0,16,0.0,66
610,13.96,2,1,3,0,5,1.0,42
516,1.01,0,0,3,0,17,7.0,29
522,7.93,4,1,0,2,12,1.0,43
229,17.89,4,1,2,0,27,1.0,101
148,10.3,2,1,1,0,29,0.0,73
826,18.44,2,0,2,0,27,7.0,80
977,12.1,0,0,0,0,11,0.0,53
623,7.72,2,2,2,0,11,5.0,36
934,10.75,2,2,2,0,8,6.0,60
619,16.22,2,0,1,0,22,0.0,102
111,6.15,1,1,1,2,26,5.0,48
560,12.6,4,2,0,1,8,6.0,58
589,3.0,0,1,2,2,29,1.0,43
19,8.92,4,2,2,0,25,4.0,62
694,5.23,0,2,2,2,19,4.0,37
202,2.14,0,1,0,0,25,1.0,36
383,12.76,4,0,2,2,27,5.0,74
167,6.76,1,2,3,0,7,6.0,42
671,3.88,0,2,2,0,16,2.0,35
524,16.92,0,1,2,2,29,0.0,70
252,8.01,0,0,2,0,8,6.0,48
544,13.6,0,2,0,0,27,0.0,87
797,18.68,3,1,0,0,11,8.0,62
